延暦七年（戊辰）,一月※,二月,三月※,四月,五月※,六月※,七月,八月※,九月,十月※,十一月,十二月,
ユリウス暦,788/2/12,3月12日,4月11日,5月10日,6月9日,7月8日,8月6日,9月5日,10月4日,11月3日,12月2日,789/1/1,
延暦八年（己巳）,一月,二月※,三月,四月※,五月,六月※,七月※,八月,九月※,十月,十一月※,十二月,
ユリウス暦,789/1/31,3月2日,3月31日,4月30日,5月29日,6月28日,7月27日,8月25日,9月24日,10月23日,11月22日,12月21日,
延暦九年（庚午）,一月,二月,三月※,閏三月,四月※,五月,六月※,七月,八月※,九月※,十月,十一月※,十二月
ユリウス暦,790/1/20,2月19日,3月21日,4月19日,5月19日,6月17日,7月17日,8月15日,9月14日,10月13日,11月11日,12月11日,791/1/9
延暦十年（辛未）,一月※,二月,三月,四月,五月※,六月,七月※,八月※,九月,十月※,十一月,十二月※,
ユリウス暦,791/2/8,3月9日,4月8日,5月8日,6月7日,7月6日,8月5日,9月3日,10月2日,11月1日,11月30日,12月30日,
延暦十一年（壬申）,一月,二月,三月※,四月※,五月,六月,七月※,八月,九月,十月※,十一月,閏十一月※,十二月※
ユリウス暦,792/1/28,2月27日,3月28日,4月26日,5月25日,6月24日,7月24日,8月22日,9月21日,10月21日,11月19日,12月19日,793/1/17
延暦十二年（癸酉）,一月,二月※,三月,四月※,五月,六月※,七月,八月,九月※,十月,十一月※,十二月,
ユリウス暦,793/2/15,3月17日,4月15日,5月15日,6月13日,7月13日,8月11日,9月10日,10月10日,11月8日,12月8日,794/1/6,
